case_id,file,status,word_count,qa,valid
case_001,putusan_1014_pid.b_2019_pn_jkt.utr_20260627114755.pdf,OK,4741,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_002,putusan_1028_pid.b_2020_pn_jkt.utr_20260622233530.pdf,OK,13170,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': ['agama'], 'passed': True}",True
case_003,putusan_1050_pid.b_2021_pn_jkt.utr_20260612003949.pdf,OK,11547,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_004,putusan_1052_pid.b_2021_pn_jkt.utr_20260612004718.pdf,OK,13012,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_005,putusan_1099_pid.b_2020_pn_jkt.utr_20260627121743.pdf,OK,24934,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_006,putusan_1134_pid.b_2021_pn_jkt.utr_20260622223524.pdf,OK,6169,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_007,putusan_1204_pid.b_2021_pn_jkt.utr_20260622215259.pdf,OK,4342,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_008,putusan_124_pid.b_2020_pn_jkt.utr_20260627120924.pdf,OK,15199,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_009,putusan_1298_pid.b_2019_pn_jkt.utr_20260622234946.pdf,OK,7727,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_010,putusan_1349_pid.b_2020_pn_jkt.utr_20260622232857.pdf,OK,8727,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_011,putusan_1366_pid.b_2020_pn_jkt.utr_20260622232602.pdf,OK,8489,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_012,putusan_1382_pid.b_2020_pn_jkt.utr_20260627121227.pdf,OK,28884,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_013,putusan_143_pid.b_2020_pn_jkt.utr_20260622230051.pdf,OK,10541,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_014,putusan_1471_pid.b_2019_pn_jkt.utr_20260622234821.pdf,OK,6034,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_015,putusan_1472_pid.b_2019_pn_jkt.utr_20260622234324.pdf,OK,5791,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_016,putusan_214_pid.b_2020_pn_jkt.utr_20260627121836.pdf,OK,16246,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_017,putusan_215_pid.b_2020_pn_jkt.utr_20260627121200.pdf,OK,48385,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_018,putusan_216_pid.b_2020_pn_jkt.utr_20260627120901.pdf,OK,31840,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_019,putusan_250_pid.b_2021_pn_jkt.utr_20260622224522.pdf,OK,10202,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_020,putusan_343_pid.b_2021_pn_jkt.utr_20260622223403.pdf,OK,6958,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_021,putusan_36_pid.b_2019_pn_jkt.utr_20260622223243.pdf,OK,6584,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_022,putusan_392_pid.b_2021_pn_jkt.utr_20260627120139.pdf,OK,73931,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_023,putusan_393_pid.b_2020_pn_jkt.utr_20260622223558.pdf,OK,26618,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_024,putusan_393_pid.b_2021_pn_jkt.utr_20260627120239.pdf,OK,74291,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_025,putusan_394_pid.b_2021_pn_jkt.utr_20260627115923.pdf,OK,74442,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_026,putusan_508_pid.b_2021_pn_jkt.utr_20260622224731.pdf,OK,10623,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_027,putusan_535_pid.b_2020_pn_jkt.utr_20260622230552.pdf,OK,10909,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_028,putusan_557_pid.b_2021_pn_jkt.utr_20260622220204.pdf,OK,6205,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_029,putusan_695_pid.b_2018_pn_.jkt_utr_20260627121611.pdf,OK,5597,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_030,putusan_697_pid.b_2018_pn_.jkt_utr_20260627121637.pdf,OK,5987,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_031,putusan_72_pid.b_2019_pn_jkt.utr_20260627114608.pdf,OK,29912,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_032,putusan_800_pid.b_2021_pn_jkt.utr_20260623125517.pdf,OK,4861,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_033,putusan_846_pid.b_2021_pn_jkt.utr_20260627121016.pdf,OK,18014,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_034,putusan_961_pid.b_2019_pn_jkt.utr_20260627121845.pdf,OK,16631,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_035,putusan_962_pid.b_2019_pn_jkt.utr_20260627121709.pdf,OK,16792,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
case_036,putusan_983_pid.b_2021_pn_jkt.utr_20260622230722.pdf,OK,11578,"{'found': ['nama', 'tempat lahir', 'jenis kelamin', 'pekerjaan'], 'missing': [], 'noise_leaked': [], 'empty_values': [], 'passed': True}",True
